Message,sentimen_bert,sentimen_vader
nice info gan,positive,positive
terang jelas,positive,neutral
om bagus rx king pake pertamax turbo,positive,neutral
mau liat regulasi nya dmna min,neutral,neutral
id sama sama ganteng motidak jadi event series tiap tahun paling besar indonesia,positive,neutral
emang keren sih pertamax turbo,positive,neutral
semotidak gw konsisten kak pake turbo,negative,neutral
min lama libur sekolah program cashback ga,neutral,neutral
emang bikin bangtidak mase,negative,neutral
jan lupa ganti oli bulan sekali,neutral,neutral
sesuai bbm nya awat jutidak mincek2 mesin atur,neutral,neutral
turbo slalu jd pilih keluarga,positive,neutral
noken as bahasa belanda kak tidak pakai sebut versi inggris,neutral,neutral
paling penting isi bahan bakar sesuai kompresi mesin,neutral,neutral
laki wajib tauu bisa lah benerin dikit2,negative,neutral
kendara perlu awat cuma wajah aja,negative,neutral
klo gue biar serah ahli ahli aja dehh wkwk,neutral,neutral
terimakasiiii info min,positive,neutral
maaf awam noken as fungsi buat apa kak,neutral,neutral
klo gue biasa ganti oli mesin tiap 2000km,neutral,neutral
cara pilih noken gimana min,neutral,neutral
tune up mesin baik berapa bulan sekali,positive,neutral
kemaren barusan isi pondok indah so far tari nya lebih enak banding 92 tp seluruh tau soal baru banget nyoba,positive,neutral
pertamax kok ungu,positive,neutral
sayang tempat guweh ada lok palimanan cirebon,positive,neutral
poin berapa kalo abis isi green,negative,neutral
denger denger bahan bakar buat tebu,neutral,neutral
nama pertamax green tp warna ungu hayooo,neutral,neutral
pake bahan bakar pastipasti aja,positive,neutral
experimen pake pertamax green pgn suasana baru,positive,neutral
indramayu belah mana udah pertamax green,neutral,neutral
info kak tuk area brebes apa pke evchr,neutral,neutral
lebih suka bayar cash min,positive,neutral
benefit apa aja kalo isi pertamax series via aplikasi,neutral,positive
klo isi bensin banyak otomatis cashback hasil banyak,positive,neutral
enakkk banget kasih promo terus,positive,neutral
bebas kan mau isi pertamax apa aja,neutral,neutral
siaaaapp makasih info mimin langsung isi bensin enanti sore,neutral,negative
otw top up saldo ovo duluu,neutral,positive
apa minimum beli,neutral,neutral
harus kasih temen saudara y kalo topup voucher buat diri sendiri apa tetep bonus,neutral,positive
sisa 6hr doong,negative,neutral
berat kak kalo 1jt dulu,negative,neutral
periode smpe kapan,neutral,neutral
weekeend mah enak jalan2 min,positive,neutral
hijau bukan sembarang hijau,positive,neutral
abis isi pertamax green so far sih tari jadi lebih enteng tapi soal irit belum tau well see,positive,positive
khodam gue elang listrik min,negative,neutral
gaskeun langsung isi full tank,neutral,neutral
slalu pake mypertamina soal bnyk promo,neutral,neutral
mau dong nya,negative,neutral
promo batas,neutral,neutral
next coba kasih opsional dana menu bayar,neutral,neutral
baru total transaksi 700k kira2 tidak duhhhh,neutral,neutral
sy poin 1rb tp bingung mau pake apa kasih saran dong min,neutral,neutral
langsung hadiah kan,positive,neutral
bahan bakar gw ni pertamax turbo,neutral,neutral
oke cuzz langsung tuker aja poin nganggur xixixi,negative,neutral
per user maks berapa kali om,negative,neutral
kak cepet adain triple poin,neutral,neutral
poin udah kepake tukar sama kupon undi,neutral,neutral
damping kalo usia 20th mau ajak adek hehehe,neutral,neutral
mau tuker semua poin,neutral,neutral
nih deket dr rumah,positive,neutral
si aceng sllalu kasih turbo biar performa kenceng,neutral,neutral
spill channel youtube nya min,neutral,neutral
seaannn semotidak terus konsisten,negative,neutral
proud of you sean,negative,positive
maksimal tukar berapa tiket bang,neutral,neutral
langsung tukar,positive,neutral
coba kalo deket aku tuker semua deh poin,negative,neutral
walaupun hari monday nongki mah wajib atuh ciiaaatt ciiaaattt,positive,neutral
senin snya neng teruss,neutral,neutral
kasih yang happy dong min,positive,positive
akhir baleek wkwk,positive,neutral
vibes senin tu cekam bgt,negative,neutral
baru tau tiket hibur,neutral,neutral
gercep langsung tukar poin,neutral,neutral
yaah kurang 200 poin min,neutral,neutral
awal bulan langsung hajar bnyk diskon,positive,neutral
jadi bingung mesti pake promo mana dulu,negative,neutral
semangat teruss jangan kasih kendor,positive,neutral
gel banget pinggang weh,negative,neutral
senin minggu mana mas lama,negative,neutral
senin tanggal 1 rasa ken jalan2 jauuuhh,negative,neutral
gak pake bank mandiri,neutral,neutral
salah satu untung pake,positive,neutral
libur sekolah kan libur kerja jutidak dong ytta,negative,neutral
yeee libur tiba have a nice day,positive,positive
waktu kecil jrng kasih jajan kalo libur sklh,neutral,neutral
gak berat kok,positive,neutral
hari senin cukup sibuk pagi sampe sore tp gppa sedang nikmat harihariku sibuk,positive,negative
tiket buat 1 anak 1 awas,neutral,neutral
buat usia berapa min,neutral,neutral
waw seru banget,positive,neutral
praktis anti ribet,positive,negative
min kalo punya evoucher apa kudu guna semua sekali ngisi bensin,neutral,neutral
arti pertamax dex jtidak masuk yaahh,negative,neutral
yessssss 3x promo sama,positive,neutral
tau gitu td aku pake mandiri aja bayar,neutral,neutral
lah baru aja malam isi bahan bakar min,neutral,neutral
blm gaji woiii,negative,neutral
gue pake pertamax turbo ada 4th mah,neutral,neutral
pak dirut open loker gak,neutral,neutral
yg ini aku syukkaa,negative,neutral
lumayan lama sampe desember,negative,neutral
maxsud service fee apa,neutral,neutral
siap kak makasih,positive,neutral
id tanya apa jawab apa,neutral,neutral
baiiik banget mimin nya,positive,neutral
kelas sunmory200 basic injeksi,neutral,neutral
kelas matic sunmory200 basic injeksi,neutral,neutral
bakal yang touring ke mandalika,negative,neutral
bismillah smtidak menang,negative,neutral
ken dapat emas,positive,neutral
satu kupon butuh berapa poin,neutral,neutral
program slalu gue ikutin wlpn menangmenang,positive,neutral
tunggu gaji dlu min,neutral,neutral
sudah punya tiket,neutral,neutral
mimin bakal kesana gak,negative,neutral
gak sabar ken nonton motogp langsung,positive,neutral
see you mandalika,positive,neutral
seperti gue demen,positive,neutral
mending beli tiket sekarang aja beb enanti keburu habis,negative,neutral
isi sesuai yang bayar rata banyak curang kapan konsumen kawatir curang,negative,neutral
kalo menang mobil gimana bikin geger satu kampung kayak,neutral,neutral
ken motor aja kak buat belanja pasar,neutral,neutral
udah pernah menang sempat menang gak,negative,neutral
ponakan siapa adik ipar siapa,neutral,neutral
puncak 2 minnyamanjalannya jutidak baguss,negative,neutral
sentul kak sekali ngafe,positive,neutral
min sejak ngetrip jarang pake my pertamina sinyal suka putus nyambung,negative,neutral
gue tuker kemarin,neutral,neutral
hahaha aku gaji tiap tanggal 10 min,negative,positive
punya tiket cuman sempat kesana,negative,neutral
masuk pekanbaru gak,neutral,neutral
cek list 5000 spbu koneksi nya min,neutral,neutral
kalo abis gaji biasa langsung full happy,positive,positive
beli voucher gratis voucher,neutral,positive
auto s3 sih senyam senyum sendiri wkwkwk,neutral,neutral
tiket langsung masuk mailbox mypertamina min,neutral,neutral
tuker berkalikali poin,negative,neutral
sampe kapan,negative,neutral
poin gue utuh pernah tuker2,neutral,neutral
semotidak dompet aman kak pake turbo terus,negative,neutral
semangat ngumpulin poin,positive,neutral
cashback libur dong min,negative,neutral
coba aja kalo malang gue tuker jutidak 2rb poin,neutral,neutral
kasih lebih banyak diskon qaqa,positive,neutral
this is the best,positive,positive
biasa pesona gaji langsung checkout barang2 keranjang,neutral,neutral
haha ada waktu buat libur,neutral,positive
bakal masa expired kan,negative,neutral
majalengka dong alam eksotis banget,positive,neutral
min info2nya dong spbu ada pangandaran rencana ngetrip sana,neutral,neutral
mesin emang jadi hebring sejak pake turbo,neutral,neutral
batas usia kak,neutral,neutral
lan gassssss lan,neutral,neutral
gada sugar daddy mau beliin gw tiket premiere class,neutral,neutral
masa aktif tiket laku brp lama a,neutral,neutral
kalau unjung mau nonton pakai tiket masuk nih min,neutral,neutral
cuzz langsung tukar aja,neutral,neutral
min spbu apa sekali isi saldo,neutral,neutral
tenang aja lama,negative,neutral
jadi ken isi full tank,neutral,neutral
kapan seru2an gratis,positive,positive
deluxe class benefitnya apa aja,positive,neutral
promo weekend bakal lagi kak,neutral,neutral
loh baru tau min,negative,neutral
cocok bwt tidak suka antri panjaaaaaaaaaaaaaaaaaaaaaaaaang,positive,neutral
very true bro,neutral,positive
cepet banget cepat habis uang gaji,negative,neutral
mau cashback,positive,neutral
id nonton bayar tiket kak beli,neutral,neutral
semotidak tahun ada sampean nonton,negative,neutral
gak cukup poin,neutral,neutral
waktu happy2 bareng si kecil,neutral,neutral
tanya kak kelas vip dapet akses tempat team hospitality,neutral,positive
gila dapat poin banyak banget kalo beli vip,positive,positive
mau tukar poin jadi voucher bbm,neutral,neutral
isi pertamax green brp poin kak,neutral,neutral
pada bingung mending tuker aja langsung playtopia kidzania,neutral,neutral
skip dlu kak fokus tebar hadiah,neutral,neutral
wes tuker kabeh poin,negative,neutral
dimna mana pertamax antri kcuali kalau kalau dluan mau beli pertamax jga,neutral,neutral
klau sya mau ngisi pertamax ngambil jalur mobil,neutral,neutral
sini partamax sama pertalit beda antri,negative,neutral
apa minimal transaksi ka,neutral,neutral
hartidak tiket pesawat nya muahaaaal,positive,neutral
topup saldo ovo dlu hehe,neutral,neutral
lancar jaya antri panjang,positive,neutral
boleh sia sib kan,negative,neutral
langsung tukar semua poin ku,neutral,neutral
stujaaaah ehh se7 deng,positive,neutral
aku kesana bareng ponakan,positive,neutral
maksimal tuker berapa tiket min,neutral,neutral
moms poin kamu kan bnyk tuker aja mending,negative,neutral
moms poin kamu kan bnyk tuker aja mending,negative,neutral
ayo sayang anak sayang anak langsung tuker poin mypertamina wkwkwk,positive,neutral
pilih salah satu boleh dua2 nya,neutral,neutral
cocok buat gue males ngantri haha,negative,positive
tukar min,neutral,neutral
bingung mau ambil mana dulu,negative,neutral
mau ikut nonton min,neutral,neutral
info registrasi min,neutral,neutral
siaap ramai 155cc,positive,neutral
id gass poll pak,neutral,neutral
info daftar mas,neutral,neutral
daftar berapa mas,neutral,neutral
pliss kasih sempat gue buat menang,positive,neutral
mau banget hadiah gratis,positive,positive
sekarang makin semangat isi bensin grgr kupon undi,neutral,neutral
siap prepare buat bsok drag bike cicangkal,neutral,negative
waa to the wawwwww,positive,neutral
bang udah bang,negative,neutral
kasih promo terus2an,positive,neutral
id siap bantu promosi acarany kk,neutral,positive
nah kebut2an jalan mending ikut kompetisi resmi gin,negative,negative
hadiah bakal apa aja,negative,neutral
cocok buat suka balap,positive,neutral
batas daftar sampe kapan om,negative,neutral
1314 juli bakal penuh jet darat,neutral,neutral
daftar brp bos,neutral,neutral
suka bingung motor drag suka miring dulu,negative,negative
yakali regis,positive,neutral
performance d usaha bree,neutral,neutral
banget pnya aplikasi mypertamina biar tinggal promo2 keceehh,neutral,neutral
arti kalo ngisi pertamax turbo langsung 20 poin,neutral,neutral
yeaay panjang terus haha,negative,positive
wajib pke metode bayar tentu si min,neutral,neutral
masuk dexlite kan,neutral,neutral
double poin cuma spbu ap pertahsop kak,neutral,neutral
enak kah pake green,positive,neutral
semangat semangat boleh ngeluh bos,positive,neutral
gass aja dulu happy2 mah belakang hihihi,neutral,neutral
aman buat jangka panjang,positive,neutral
minta daftar spbu ada ptmx green donx,neutral,neutral
cek spbu udah koneksi mypertamina masss,neutral,neutral
testimoni nya dong lebih enak pertamax biasa green,positive,neutral
gk di kota gua bang,neutral,neutral
min kalo mau kirim kritik saran kmna,neutral,neutral
satu user max brp kali,neutral,neutral
mw voucher free,neutral,positive
semua akan hijau waktu,neutral,neutral
isi barusan mt haryono,neutral,neutral
harga brp kak,positive,neutral
bulan april jalan jalan jadi wacana abadi kayak,neutral,neutral
jangan ada alas gaada duit bla bla bla,negative,negative
ayooo rilis aja semua,negative,neutral
besok udah weekend aku sibuk kerja,negative,neutral
dada malah biasa langsung jadi wacana dulu,negative,neutral
kecil sdah suka buat planning jalanjalan ujung gagal wkwk,positive,neutral
ken banget jalan jalan bukittinggi kapan,positive,neutral
terimakasih info min,positive,neutral
tunggu promo bayar linkaja,neutral,neutral
skip dulu kak jalan2 nya kalo promonya sih bakal dipake haha,neutral,positive
motor aja aku sayang apa calon masa depan ciiaaatt,positive,neutral
abis ngisi bensin langsung ayo beli bakso,neutral,neutral
aku walauu cewek isi pertamax jtidak kok hehehe,negative,neutral
mulai 0 mass,neutral,neutral
min promo wiken ada dr jam brp sampe jam brp,neutral,neutral
cowok biasa isi pertamax bukti kalo mau kasih terbaeekk,neutral,neutral
abis enak ishhhh sat set pake antri,positive,neutral
gak pernah mau kalo ajak isi bensin bareng,negative,neutral
banyak jutidak list promonya sayang kalo lewat,negative,neutral
bonus 10rb langsung masuk akun,neutral,positive
besok ke puncak kan mahhh,positive,neutral
siap noted bakal aku inget tiap weekend,negative,neutral
promo beli bensin gratis bensin kok pernah muncul ya,neutral,positive
min cara daftar drag fest gimana,neutral,negative
buat semua guna min,neutral,neutral
gak pernah mau kalo ajak isi bensin bareng,negative,neutral
tau aje gue butuh libur,negative,neutral
udah isi full tank siap gaspoll pokok,neutral,neutral
berani janji libur biasa udah2 suka ngaret lama hahaha,negative,positive
arti isi bensin bagus pas indikator brp om,positive,neutral
gak pernah sampe kosong banget,negative,neutral
bener makanya slalu isi tiap 4hr sekali,positive,neutral
inti jangan jadi biasa,negative,neutral
min motor aku kan jarang dipake itu bensin basi gak,negative,neutral
lah iya mending prepare isi bensin jarak jauh,negative,neutral
gweh 2x habis bensin pas di jalan,neutral,neutral
nyedot endap kotor tank lalu masuk bikin mampet nozzle injentor baru nyahok,negative,neutral
tuh liat stop biasa buruk kamu,negative,negative
klo slalu full malah tambah bagus,positive,neutral
bakal seru banget mah,positive,neutral
coba kalo deket ikut daftar hehe,neutral,neutral
siap perdana min,positive,neutral
nonton aja bayar kak,negative,neutral
bakal jrocks cuuuyyy mantapss,positive,neutral
mau daftar dong,positive,neutral
ikut masa enggak bray n544,negative,neutral
maaf aku cewek apa ikut drag fest,negative,negative
adain jutidak sirkuit cibatu majalengka,neutral,neutral
belum berani kak kudu punya tim profesional,negative,neutral
siap bantu promosi acarany kk,neutral,positive
penting licin aja pas hujan,negative,neutral
selamat kendara nomor 1,neutral,neutral
half aja lebih simpel,positive,neutral
safety riding emang penting banget kak bukan cuma buat selamat tapi jutidak orang,neutral,positive
ikut nyari jutidak kak wkwk,negative,neutral
makin semangat aja isi bahan bakar pake ahaayy,positive,neutral
voucher bbm guna dmna aja kakk,neutral,neutral
banyak spbu support bayar cashless,positive,positive
kalo gue lebih suka sarung tangan agak panjang,positive,neutral
min pake sarung tinju gak,neutral,neutral
suka suka,positive,neutral
cara voucher bbm macem mana min,neutral,neutral
yeaaayy makasih min,positive,neutral
kalo motor jarak deket perlu pake om,neutral,neutral
touring 90 nikmat jalan sisa tuju tuju,positive,neutral
sering pinjem punya abang,neutral,neutral
sampe kapan kak promonya,positive,neutral
terima kasih tipsnya kak,positive,neutral
service fee maksud kalo beli voucher kena admin,negative,neutral
kak temen gue demen banget cari gratis p,positive,positive
kudu cepat2 daftar habis slot,negative,neutral
mau ambil kelas 140cc,neutral,neutral
nanti bakal evoucher mimin,neutral,neutral
ask benar no tuju transfer daftar nya bca 7600008697 an fenty asni,neutral,negative
punya apk min,positive,neutral
batas usia,negative,neutral
registrasi offline kak,neutral,negative
bu ibu cuman nyimak ajeee,negative,neutral
next adain jtidak palembang kak,negative,neutral
batas akhir daftar kapan,neutral,neutral
apa bakal balap khusus anak,neutral,neutral
riah siapa aja kak artis2nya hehe,neutral,neutral
souljah tanggal berapa kak,negative,neutral
souljah tgl berapa min,negative,neutral
info contact person daftar dong min,neutral,neutral
pake sistem kualifikasi,negative,neutral
mau ikut nontonnya apa,neutral,neutral
mantap luar biasa antusias,positive,neutral
sekal coba lepas helm bromax hehe,neutral,neutral
kak kelas brp cc aja tanding,neutral,neutral
hadiah jos bukan kalengkaleng,negative,neutral
dong tambah metode bayar shopee,neutral,neutral
kalo beli pertahsop tetep cashback kan,positive,neutral
pen nanyak ni para balap pernah ngantuk saat race,negative,neutral
nice kak akhir nonton drag race free,neutral,positive
beda apa sih kak road race sama drag race,negative,negative
hobi mahal mah,negative,neutral
dulu sering ikut balap pake satria fu sekarang anak sdh 2 sdh takut balap,neutral,negative
akhir maen drag race th 2018 jd rindu moment sama kawan2,positive,negative
thanks for information,positive,positive
siap ikut ramai mazzeeh,positive,neutral
siaap kak langsung topup saldo ovo dulu,neutral,neutral
asikk nonton gratis,positive,positive
bakal live streaming sih,negative,neutral
ngak tau telah meni kalo ngebut ada rasa takut,negative,neutral
semangat saudara semotidak kasih baik,negative,neutral
temen gw sering bet nebeng kak tp suka bawain jajan jd gapapa,positive,neutral
suka enak kalo mau nebeng temen jadi kadang suka kasih uang buat beli bensin,positive,neutral
siaaap aku langsung isi full,neutral,neutral
kalo ovo dapat,neutral,neutral
yesss terima kasih min,positive,neutral
kalo mau cashback 15rb isi bensin berapa,neutral,neutral
nyata banyak benefit kalo pake mypertamina aa,positive,positive
audience dateng ikut nonton acara nya ada tiket nya,neutral,neutral
id souljah tanggal berapa min,neutral,neutral
souljah tanggal berapa,negative,neutral
khusus jiwa berani,positive,neutral
bakal bagi 3 sirkuit min,neutral,neutral
energizing your journey,positive,positive
energizing your journe id maksud tagline sebut tani beri energi tiap jalan hidup semua,positive,positive
energizing your journey id maksud tagline sebut tani beri energi tiap jalan hidup semua,positive,positive
energizing your journey ayo n buru ikut jawab quisnya sekarang jutidak,negative,positive
energizing your journey id,positive,positive
energizing your journey,positive,positive
energizing your journey ayo ikut ramai quisnya gass njamiell jangan lupa follow id,positive,positive
energizing your journey id,positive,positive
energizing your journey,positive,positive
energizing your journey,positive,positive
halo kak kalo daftar email masuk brpa hari daftar,neutral,neutral
energizing your journey gazzzzz slurr follow id,positive,positive
energizing your journey,positive,positive
energizing your journey,positive,positive
energizing yourb journey,positive,positive
cicangkal daerah mana brayy,negative,neutral
apa tiap kelas hartidak daftar beda,neutral,neutral
dont forget our promise,neutral,negative
gasss ragu,negative,neutral
keren kak cara joinnya gimana,positive,neutral
energizing your journey maxquizgiias2024,positive,positive
energizing your journey,positive,positive
energizing your journey,positive,positive
energizinv your journey,positive,neutral
enerzing your journey,positive,neutral
energizing your journey,positive,positive
energizing your journey,positive,positive
energizing your journey,positive,positive
energizing yoyr journey,positive,positive
energizing your journey,positive,positive
spill salah satu hadiah om,neutral,neutral
guys event giias pada dtg ga,neutral,neutral
guys event giias pada dtg ga,neutral,neutral
bakal artis2 min,negative,neutral
energizing your jorney,negative,positive
min jrock bakal di lapang mana,neutral,neutral
slot bebek 130cc apa sedia,neutral,neutral
waah minggu depan dong,negative,neutral
hobi balap wajib ikut,neutral,neutral
ajak anak min,neutral,neutral
gak sabar jadi,negative,neutral
mesin siap tempur,neutral,neutral
energizing your journey tiket gratis,positive,positive
energizing your journey,positive,positive
energizing your journey,positive,positive
sejak isi bensin fast track hidup jadi lebih satset,positive,neutral
ngtidak perlu antri panjang mesin kendara jutidak lebih terjatidak sehat,negative,neutral
energizing your journey id,positive,positive
siaaap aku event giias 2024 bareng keluarga,negative,neutral
energizing your journey,positive,positive
pakai pertamax asa jadi sultan,positive,neutral
tari jadi lebih enteng,positive,neutral
knp kalo isi pertamax asa lebih irit gituuu,positive,neutral
always fast track,positive,neutral
kasih layan cuci kaca mobil gratis min,neutral,positive
butuh libur kak sebenernya,positive,neutral
daftar cuman di salah satu kelas aja,neutral,neutral
sumpah bener banget,positive,neutral
lebih enak ada layan pertamina delivery service,positive,neutral
bakal kopi gratis hihihihi,positive,positive
apa ada simulasi motogp min,neutral,neutral
mau tiket masuk dong,neutral,neutral
lokasi mana min,positive,neutral
energizing your story,positive,positive
dear id jawab energizing your journey,neutral,positive
energizing your journey,positive,positive
ikut balap dah,positive,neutral
energizing your journey,positive,positive
tuker poin banyak kak,positive,neutral
buat anakanak usia 21th tidak min,neutral,neutral
tukar poin sama tiket masuk kidzania,neutral,neutral
si kecil ngebet banget minta main tp keturutin,negative,neutral
ngebantu banget tukar poin jd tgl mikir jajan nya aja,positive,neutral
libur sekolah sisa beberapa hari tapi sempat jelongjelong,negative,neutral
keluar enak,negative,neutral
ganti oli rutin min,neutral,neutral
klo ganti shock apa perlu ganti karet support,neutral,neutral
xenia biasa tiap 2 bulan sekali awat kak,neutral,neutral
gw sih penting jatidak bobot aja jangan dipaksain bawa berat2 kalo cepet aus,negative,neutral
gw kalo mau mudik aja kak baru cek2,neutral,neutral
l300 ane sering cek tiap abis 20000 km,neutral,neutral
2 bulan lah,negative,neutral
energizing you journey,positive,positive
poin kurang sedikit,negative,neutral
teman adik main sama,positive,neutral
yipiii waktu libur,negative,neutral
paling penting jangan beban lebih biar lebih awett,positive,neutral
bengkel gw rajin banget ingetin cek2 suspensi,positive,neutral
permisi suspensi profender numpang lewat tiap mau jarak jauh cek dulu,neutral,neutral
id pake tiket masuk free entry min,neutral,positive
energizing your journey,positive,positive
energizing your journey,positive,positive
bisa voucher maksimal berapa kali lama periode langsung,neutral,neutral
war tiket mulai,neutral,negative
min mau tanya buat di cicangkal kam konser masuknyaa gratis tidak min,neutral,positive
energizing your journey id,positive,positive
yeeee promo spesial weekend,positive,neutral
kudu jalan penuh ikhlas cemunguuuutttt,positive,neutral
uwwaaaahh cuman hari aja min,negative,neutral
beli offline om,positive,negative
semua akan indah waktu,positive,neutral
weenaaakk tenan rekkk,positive,neutral
tosss dulu beli bbm pake mypertamina,neutral,neutral
s pake lamaaaaaaa,negative,neutral
mumpung abis gaji langsung beli tiket motogp kiwww,neutral,neutral
hayoo kemarin nanyain flash sale,neutral,neutral
ku jalan semua mangan dulu,negative,neutral
nang dikit gapapa kan min,negative,neutral
besok double poin,negative,neutral
siaap makasih info kak mimin,negative,neutral
aseeekk pokok tahun kudu nonton motogp langsung,positive,neutral
siap makasih info kak mimin,positive,neutral
wrb sikat nih,positive,neutral
acara siang apa mlm,neutral,negative
hari sama besok full kebut2an,negative,neutral
luncur bareng ayankkk,neutral,neutral
kalo mau masuk cukup tunjuk aplikasi mypertamina,neutral,neutral
semangat nonton drag fest,positive,negative
mantap jrocks,positive,neutral
souljah kapan min,negative,neutral
jam berapa mulai,negative,neutral
benar si green pake bahan dasar tebu,positive,neutral
mending sekali aja senam ngedance,negative,neutral
mending halan2 wiken gin mah,negative,neutral
sby apa ad sidoarjo,neutral,neutral
energizing your journey,positive,positive
bapak gua ajak nonton motogp lngsung neng banget,positive,neutral
kapan gp mulai mandalika,negative,neutral
thn harus nonton motogp pokok,neutral,neutral
walaupun ngtidak suka motogp kita nonton yuk sini premiere class,neutral,neutral
walaupun ngtidak suka motogp kita nonton yuk sini premiere class,neutral,neutral
zona vvip mana kak,neutral,neutral
belik tiket wajib via mypertamina bang,neutral,neutral
klo bawa anak kecil bayar kak,neutral,neutral
alhamdulillah tiket flash sale,positive,neutral
aapakah ada mbak rara,neutral,neutral
mending zona c i min,neutral,neutral
pake pertamax green tari lebih maksimal,positive,neutral
gera ambil uang atm minsay,neutral,neutral
au ah bingung butuh libur min,negative,neutral
kak pertamax green ada bogor blm,neutral,neutral
mimin cepet adain cirebon donk,negative,neutral
senam wajah sih,negative,neutral
kalo nonton konser aja apa download aplikasi jutidak id,neutral,neutral
energizing your journey,positive,positive
besok bakal berapa serta drag bike min,neutral,negative
semua serta wajib pake ron 98,neutral,neutral
apa bazzar min,neutral,neutral
tadi siang cicangkal seru banget celebrity race,positive,neutral
energizing your journey,positive,positive
ngedate event drag kayak jutidak cc,negative,negative
neng banget liat tunjuk bike modification artwoker,positive,neutral
ikut nonton dong,negative,neutral
serta poin tinggi tiket motogp kan,neutral,neutral
mantap souljah suka banget sama lagu selalu,positive,neutral
panggil buat demen track kencang lurus,positive,neutral
alohaaaaaaaa id the answer is energizing your journey,positive,positive
hai id jawab energizing your journey,neutral,positive
energizing your journey,positive,positive
kasih jjj dulu mas sean,neutral,neutral
mangtaafff aa browww,positive,neutral
lets go wrt,positive,neutral
semotidak buah hasil,negative,neutral
bakal mulai jam 2130 channel youtube kuy entertainment sama wwwseangelaelcom,neutral,positive
kasih nyala abangkuh,neutral,neutral
yuk yuk naik podium,neutral,neutral
wrt posisi berapa,neutral,neutral
anto posisi ke3 kak cuman beda 2 poin sama puncak klasemen,neutral,neutral
wah reveal,positive,neutral
kalo beneran sayang kasih terbaeeeekkk,positive,neutral
enak asa jadi langgan prioritas,positive,neutral
saking sayang sama motor lecet sedikit langsung sakit hati,negative,neutral
jujur gua sekarang ganti jadi pertamax green,negative,neutral
beat sy dr turun dealer smpe skrng gas ptmx terus,neutral,neutral
the best drag event,positive,positive
nyala sekali eventnya,negative,neutral
tadi sempat mampir booth pertamina lhooo,neutral,neutral
saluttt bukan cuman balap2an ada hibur jutidak aa,negative,neutral
walaupun ikut tanding bikin degdeg serrrrr haha,negative,positive
super cool id,positive,positive
super cool id,positive,positive
the best event this month,positive,positive
bukti dukung pertamina thdp dunia otomotif,positive,neutral
pliss taun depan coba gelar event gin bengkulu,neutral,neutral
overall gw suka acara smtidak sukses event2 ikut,negative,neutral
min live streaming gak,neutral,neutral
bakal sampe jam berapa kak gw tinggal nih,negative,neutral
energizing your journey,positive,positive
gak usah ragu setia pada motor aja aku rawat baik kamyuuuu hehe,positive,neutral
gw pake pertamax malah tambah enak tadi iseng aja sii,positive,neutral
kalau motor 125cc 150cc up bagus mangx pakai pertamax,positive,neutral
bbm ramah lingkung,positive,neutral
kalo sayang sama kendara ajak jalanjalan,positive,neutral
id palembang siap gass,positive,neutral
siap nobar nonton euro cup,positive,neutral
yoookk yook rebut posisi pucuk,neutral,neutral
jedag jedug siap dunia,negative,neutral
gw sih yakin menang,positive,neutral
nyala bang sean,positive,neutral
good luck kak,positive,positive
klo sean podium aku mau joget dumang,neutral,neutral
podium tidak sih,negative,neutral
energizing your journey ayo ikut menangin tiket gratis lets go,positive,positive
energizing your journey ayo ikut menangin tiket gratis lets go,positive,positive
energizing your journey,positive,positive
energizing your journey,positive,positive
min ain dong daerah banjarsari lebih tepat nya camat banjarsari kabupaten ciamis,neutral,neutral
jawab energizing your journey,positive,positive
energizing your journey,positive,positive
meski motor butut tp selalu pakai pertamax krena antri,positive,neutral
100 benar no debat,negative,negative
jtidak pertamax turbo jadi simbol mapan hqq,neutral,neutral
iya i mamen gue punya trail t32 isi pertamax turbo bawa kmnamna lebih enak,positive,neutral
energizing your journey,positive,positive
kalo 2000 cc mending pake bahan bakar mana nih lur,neutral,neutral
gue cuma kasih kata tari josssss,negative,neutral
alam gue pake turbo dr sbyjkt 1 tangki full habis,neutral,neutral
selalu ane kasih turbo,positive,neutral
yappp kasihan kalo mobil bagus kasih bbm standar,negative,neutral
energizing your journey,positive,positive
ayla 2015 only pertamax sejak lahir,neutral,neutral
bang tny dong pertamax turbo kalao pakai motor oke aja,neutral,neutral
energizing your journey wish me luck,positive,positive
info cp registrasi kak,neutral,neutral
apa punya team otomotif dulu daftar,neutral,neutral
bakal seru abis,positive,neutral
artisband bakal siapa aja min,neutral,neutral
bakal jd ajang perdana ane buat ikut berpatisipasi,neutral,neutral
berapa biaya daftar kalo daftar sekarang,neutral,neutral
doain smtidak lancar min,negative,neutral
bakal bangkit dunia otomotif khusus cinta track lurus,positive,neutral
fyi wartidak tazik bakal ikut rapat,neutral,positive
energizing your journey,positive,positive
gw dr tegal siap ramai min,neutral,neutral
pinggang keseleo yangomongnya kok kaku guest star,negative,neutral
energizingyourjourney daftar mypertamina,positive,neutral
energegizing your journey,positive,neutral
energizing your journey wish me luck,positive,positive
energizing your journey wish me luck everyone,positive,positive
energizing your journey semotidak menang,negative,positive
asek banget liat tampil dragster indonesia,negative,neutral
alhamdulillah terima kasih pertamina,positive,neutral
kemarin sempat ikut nonton bareng aa,neutral,neutral
energizing your journey,positive,positive
jumpa tasikmalaya,positive,neutral
mau daftar di tasik kemarin sempat tinggal,neutral,neutral
rame bangetttt seru banyak keren2,positive,neutral
